TP_Overall,TP_Speed,TP_Throttle,TP_Brake,TP_Cruise,TP_RRCP,TP_Malicious,TP_ARP,Attack
41170.40900706046,13065.32663316578,12261.30653266327,12261.30653266327,2483.302588893827,228.993066598816,0.0,0.0,0
40130.20198801682,12995.208017043684,12347.946694656315,12347.946694656315,2439.1005816605066,0.0,0.0,0.0,0
40208.68724239949,13096.471886030526,12290.535154582492,12136.903465150212,2458.1070309164984,226.6697057197591,0.0,0.0,0
40126.72656142976,13069.776268051031,12112.163814564989,12265.482343863276,2453.0964687726555,226.20766617780637,0.0,0.0,0
40392.51165703944,12995.147381673924,12349.8187385723,12349.8187385723,2469.96374771446,227.76305050645632,0.0,0.0,0
40219.373822264046,13099.952638632823,12293.80170702465,12293.80170702465,2305.087820067122,226.72994951479888,0.0,0.0,0
39856.92005910806,13064.791689154772,12109.436551391318,12109.436551391318,2573.255267170655,0.0,0.0,0.0,0
40406.72542489598,12999.720259184314,12354.1645306367,12354.1645306367,2470.8329061273403,227.8431983109228,0.0,0.0,0
40218.41129088135,13099.639130133606,12293.507491356151,12293.507491356151,2305.0326546292786,226.72452340615857,0.0,0.0,0
39919.885178758006,13002.405445007304,12202.25741762224,12049.729199901962,2440.451483524448,225.0416327020495,0.0,0.0,0
40965.697778925234,13000.362035398372,12200.339756296937,12200.339756296937,2470.9548873512776,227.8544465795236,0.0,0.0,0
42322.016332015904,12996.265630002492,12196.495437386957,12350.881455581726,2470.176291116345,0.0,0.0,0.0,0
40215.92918570602,13098.830677461405,12292.748789617626,12139.089429747406,2458.549757923525,226.7105309560628,0.0,0.0,0
40101.78040350479,13061.650992685554,12104.633871875323,12257.857085443367,2451.5714170886736,226.06703641186536,0.0,0.0,0
40403.86141533759,12998.79884517001,12353.28887330665,12353.28887330665,2470.65777466133,227.82704889295053,0.0,0.0,0
39955.17418510676,13096.998635573844,12291.0294887693,12139.28838396968,2427.857676793936,0.0,0.0,0.0,0
40115.433951501946,13066.098123884129,12108.75516519185,12262.03054702972,2452.406109405944,226.14400599030225,0.0,0.0,0
40408.41333495378,13000.263296471878,12354.680601126149,12354.680601126149,2470.9361202252294,227.85271600437565,0.0,0.0,0
40203.47263318268,13094.773422646407,12288.941212022017,12135.32944687174,2457.788242404403,226.6403092381109,0.0,0.0,0
40103.59362361649,13062.24158113409,12105.181188362536,12258.411329987375,2451.6822659974755,226.07725813501312,0.0,0.0,0
40146.00365009136,13000.325008125235,12352.808820220538,12352.808820220538,2440.0610015250445,0.0,0.0,0.0,0
40203.9788466383,13094.938302694594,12289.095945605695,12135.482246285625,2457.819189121139,226.6431629312526,0.0,0.0,0
40107.62358875948,13063.55419113995,12106.397624442963,12259.643163992876,2451.928632798575,226.0999763851145,0.0,0.0,0
40398.08348920389,12996.939960971238,12351.52229981298,12351.52229981298,2470.304459962596,227.79446864409184,0.0,0.0,0
40219.17118024937,13099.886635596413,12293.739765713555,12140.068018642136,2458.747953142711,226.72880715455327,0.0,0.0,0
39847.92195146155,13061.842178710313,12106.702722147453,12258.036506174294,2421.3405444294904,0.0,0.0,0.0,0
40405.34451245744,12999.275989691683,12353.742323212353,12353.742323212353,2470.74846464247,227.83541169858844,0.0,0.0,0
40208.737876303705,13096.488378125854,12290.550631779646,12136.9187488824,2458.1101263559294,226.66999115987053,0.0,0.0,0
40107.37169220961,13063.472145285936,12106.321590025562,12259.566167114494,2451.913233422899,226.0985563607181,0.0,0.0,0
40394.60730347472,12995.82159660063,12350.459472524066,12350.459472524066,2470.091894504813,227.77486732114056,0.0,0.0,0
39951.54674818487,13095.809589664634,12289.91361491604,12138.18628633683,2427.6372572673663,0.0,0.0,0.0,0
40112.56139998228,13065.162497958529,12107.888091858104,12261.152498084157,2452.230499616831,226.1278124646668,0.0,0.0,0
40402.12275046296,12998.239478956664,12352.757284772835,12352.757284772835,2470.551456954568,227.8172450060564,0.0,0.0,0
40194.66655924622,13091.905174323856,12286.249471288542,12286.249471288542,2303.6717758666014,226.59066647868207,0.0,0.0,0
39914.29614332631,13000.58502632614,12200.54902470607,12048.042161897243,2440.109804941214,225.01012545564475,0.0,0.0,0
40143.84586443125,12999.626260744952,12199.649260083726,12352.144875834772,2592.425467767792,0.0,0.0,0.0,0
40206.054455090205,13095.614354304356,12289.730394039472,12289.730394039472,2304.324448882401,226.65486382449848,0.0,0.0,0
39923.57879311492,13003.608501359073,12203.386439736974,12050.844109240265,2440.677287947395,225.0624548312147,0.0,0.0,0
40108.17777230648,13063.734695646332,12106.564903523014,12259.812560529635,2451.962512105927,226.10310050157116,0.0,0.0,0
40399.20826562601,12997.301825950102,12351.86619486592,12351.86619486592,2470.373238973184,227.80081097088785,0.0,0.0,0
39941.41329241896,13092.487920843349,12286.796356483756,12135.10751257655,2427.02150251531,0.0,0.0,0.0,0
40122.591921951294,13068.42956430609,12110.915782767508,12264.218514194945,2452.843702838989,226.18435784375924,0.0,0.0,0
40422.58711142234,13004.823307885075,12359.014166013472,12359.014166013472,2471.8028332026943,227.9326383076255,0.0,0.0,0
40197.90512639747,13092.960016114428,12287.239399738157,12133.64890724143,2457.447879947631,226.60892335582665,0.0,0.0,0
40124.96167205325,13069.201421526896,12111.631086603482,12264.942872509857,2452.988574501971,226.1977169110424,0.0,0.0,0
40152.779601048176,13002.519238102535,12354.893760666277,12354.893760666277,2440.472841613091,0.0,0.0,0.0,0
40193.85699899316,13091.641490433098,12286.002014098753,12132.426988922518,2457.2004028197507,226.5861027190344,0.0,0.0,0
40129.3994037774,13070.646846203726,12112.970606126108,12266.299347975804,2453.259869595161,226.22273387660297,0.0,0.0,0
40399.31052113389,12997.334723765583,12351.897459002152,12351.897459002152,2470.379491800431,227.8013875635643,0.0,0.0,0
40208.43407479054,13096.389426176687,12290.4577691812,12136.827047066434,2458.09155383624,226.6682785299811,0.0,0.0,0
39854.64542839053,13064.04608270926,12108.745466974586,12260.104785311769,2421.749093394917,0.0,0.0,0.0,0
40404.32167520674,12998.946920756003,12353.429595577274,12353.429595577274,2470.685919115455,227.8296441807284,0.0,0.0,0
40211.42165573304,13097.362518622724,12291.370979015172,12137.728841777483,2458.2741958030347,226.6851205146241,0.0,0.0,0
40114.92996533757,13065.933969292537,12108.60303808091,12261.87649425915,2452.37529885183,226.14116485314003,0.0,0.0,0
40413.98955530892,13002.057287545344,12356.385504035305,12356.385504035305,2471.277100807061,227.88415888589705,0.0,0.0,0
39935.35554450517,13090.502237692672,12284.932869219278,12133.26703132768,2426.653406265536,0.0,0.0,0.0,0
40123.3481947637,13068.67589181154,12111.144062046116,12264.449683084677,2452.8899366169358,226.1886212044305,0.0,0.0,0
40398.339114709685,12997.022201242668,12351.600456098193,12351.600456098193,2470.3200912196385,227.79591005099127,0.0,0.0,0
40194.91955351255,13091.987577717837,12286.32680370443,12132.747718658124,2457.265360740886,226.59209269127024,0.0,0.0,0
40123.54987232816,13068.741580714464,12111.204937973653,12264.511329593572,2452.9022659187144,226.1897581277503,0.0,0.0,0
40137.12308959373,12997.449250584594,12350.076297526632,12350.076297526632,2439.5212439558777,0.0,0.0,0.0,0
40218.81656163807,13099.771131883368,12293.631369921315,12139.960977797298,2458.726273984263,226.72680805182756,0.0,0.0,0
40107.97624924511,13063.669057066994,12106.504074231892,12259.750961247486,2451.9501922494974,226.1019644492364,0.0,0.0,0
40397.00989740615,12996.594563196575,12351.194054216026,12351.194054216026,2470.238810843205,227.788414934312,0.0,0.0,0
40219.01920007859,13099.837133755633,12293.6933101399,12140.022143763152,2458.73866202798,226.7279503919244,0.0,0.0,0
39854.05208916134,13063.851590675786,12108.56519705562,12259.922262018814,2421.713039411124,0.0,0.0,0.0,0
40411.3291481369,13001.201376836225,12355.572097168604,12355.572097168604,2471.1144194337207,227.86915752974883,0.0,0.0,0
40197.85451977241,13092.94353290426,12287.223930879383,12133.63363174339,2457.4447861758767,226.60863806949683,0.0,0.0,0
40120.92822211376,13067.88767647927,12110.413598644924,12263.709973311315,2452.741994662263,226.17497901598736,0.0,0.0,0
40407.59493670927,13000.000000000133,12354.43037974696,12354.43037974696,2470.886075949392,227.84810126582508,0.0,0.0,0
39935.05766988311,13090.404596683762,12284.841236887838,12133.176530259592,2426.635306051918,0.0,0.0,0.0,0
40120.82739625518,13067.854836237204,12110.383164582132,12263.679154007224,2452.7358308014445,226.1744106271824,0.0,0.0,0
40402.58297072007,12998.387541798606,12352.897994932267,12352.897994932267,2470.5795989864537,227.8198400704721,0.0,0.0,0
40208.383441650745,13096.372934330338,12290.442292217702,12290.442292217702,2304.4579297908194,226.6679930941789,0.0,0.0,0
