"No.","Time","Source","Destination","Protocol","Length","ThrottlePedalDemand.values.throttleDemand","Brake2Status.values.brakePressed","SpeedStatus.values.speed","SpeedStatus.values.speedRangeFault","CruiseControlDemand.values.throttleDemand","CruiseControlDemand.faults.throttleDemand","Info"
"220","40.550581","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.7? Tell 10.70.128.1"
"221","41.164845","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"222","41.229186","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"223","41.574231","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.7? Tell 10.70.128.1"
"224","41.830485","10.70.129.112","17.36.202.136","TLSv1.2","85","","","","","","","Encrypted Alert"
"225","41.832025","10.70.129.112","17.36.202.136","TCP","54","","","","","","","59909  >  443 [FIN, ACK] Seq=32 Ack=1 Win=4096 Len=0"
"226","41.862305","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.140.240? Tell 10.70.128.1"
"227","41.929257","17.36.202.136","10.70.129.112","TCP","60","","","","","","","443  >  59909 [ACK] Seq=1 Ack=32 Win=302 Len=0"
"228","41.929262","17.36.202.136","10.70.129.112","TLSv1.2","85","","","","","","","Encrypted Alert"
"229","41.929263","17.36.202.136","10.70.129.112","TCP","60","","","","","","","443  >  59909 [ACK] Seq=33 Ack=33 Win=302 Len=0"
"230","41.929401","10.70.129.112","17.36.202.136","TCP","54","","","","","","","59909  >  443 [RST] Seq=32 Win=0 Len=0"
"231","41.929402","10.70.129.112","17.36.202.136","TCP","54","","","","","","","59909  >  443 [RST] Seq=33 Win=0 Len=0"
"232","42.291910","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"233","42.342421","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"234","42.580749","10.70.129.112","162.159.136.232","TCP","54","","","","","","","59878  >  443 [ACK] Seq=1 Ack=1 Win=32768 Len=0"
"235","42.587871","162.159.136.232","10.70.129.112","TCP","60","","","","","","","[TCP ACKed unseen segment] 443  >  59878 [ACK] Seq=1 Ack=2 Win=67 Len=0"
